Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251219|MITP|656|0|2366|Q
20251219|MITQ|699|0|5378|Q
20251219|MITT|13571|100|75287|Q,N
20251219|MITTpA|296|0|617|Q
20251219|MITTpB|469|0|828|Q
20251219|MITTpC|126|0|2566|Q
20251219|MIY|39730|0|160866|Q
20251219|MJ|38402|14142|112095|B,Q,N
20251219|MJSC|1|0|2|Q
20251219|MKAM|8877|0|9918|Q
20251219|MKC|488793|900|843018|B,Q,N
20251219|MKC/V|304|0|1727|Q
20251219|MKDW|15372|0|36664|Q
20251219|MKL|6632|0|12511|B,Q,N
20251219|MKLYR|2500|0|2500|Q
20251219|MKOR|257|0|2291|Q,N
20251219|MKSI|118659|0|240695|B,Q,N
20251219|MKTW|951|0|3495|Q
20251219|MKTX|180394|3355|438261|B,Q,N
20251219|MKZR|29025|800|69479|B,Q,N
20251219|MLAB|11258|0|25373|Q,N
20251219|MLAC|1|0|250003|Q
20251219|MLCI|32285|0|54226|B,Q,N
20251219|MLCO|158233|0|411428|B,Q,N
20251219|MLDR|15|0|16|Q
20251219|MLEC|5985|0|9819|B,Q
20251219|MLGO|14485|332|25947|Q,N
20251219|MLI|278622|0|393035|B,Q,N
20251219|MLKN|133290|0|296551|Q,N
20251219|MLM|139591|1150|175675|B,Q,N
20251219|MLN|131868|0|235494|Q,N
20251219|MLP|4768|0|11591|Q,N
20251219|MLPA|77189|1842|136276|B,Q,N
20251219|MLPB|1028|0|1365|Q
20251219|MLPD|8182|0|8522|B,Q,N
20251219|MLPI|18206|0|24568|B,Q,N
20251219|MLPR|614|0|946|Q
20251219|MLPX|46001|0|117799|Q,N
20251219|MLR|11605|0|19022|Q,N
20251219|MLSS|21723|0|86939|Q,N
20251219|MLTX|208240|371|411249|B,Q,N
20251219|MLYS|293557|0|498797|B,Q,N
20251219|MMA|8266|0|34616|Q,N
20251219|MMAX|1|0|115|Q
20251219|MMC|356282|289|1225392|B,Q,N
20251219|MMCA|7549|0|12681|Q
20251219|MMD|18261|0|81203|B,Q,N
20251219|MMI|13447|0|70742|Q,N
20251219|MMIN|4429|0|22341|Q,N
20251219|MMIT|83450|0|324130|B,Q
20251219|MMKT|1262|0|2086|Q
20251219|MMLG|270|0|2049|Q
20251219|MMLP|1820|0|8741|Q,N
20251219|MMM|382027|538|637061|B,Q,N
20251219|MMS|87457|0|150320|B,Q,N
20251219|MMSC|937|0|4315|Q,N
20251219|MMSD|800|0|801|Q
20251219|MMSI|81453|0|157273|B,Q,N
20251219|MMT|5496|0|46631|Q
20251219|MMTM|94|0|347|Q
20251219|MMU|17923|0|84657|Q
20251219|MMYT|233254|400|478661|B,Q,N
20251219|MNA|698|0|16316|Q
20251219|MNBD|218|0|1392|Q
20251219|MNDO|6213|0|17249|B,Q
20251219|MNDR|39380|9758|74500|B,Q,N
20251219|MNDY|230434|700|484549|B,Q,N
20251219|MNKD|597371|200|1222295|B,Q,N
20251219|MNMD|392605|1302|806670|B,Q,N
20251219|MNOV|17979|0|41824|Q,N
20251219|MNPR|70050|0|102710|B,Q,N
20251219|MNR|128826|1687|312773|B,Q,N
20251219|MNRO|109572|0|207918|Q,N
20251219|MNRS|1891|0|5139|Q
20251219|MNSB|2445|0|5643|Q,N
20251219|MNSBP|100|0|101|Q
20251219|MNSO|97364|0|150033|B,Q,N
20251219|MNST|1143175|0|2771115|B,Q,N
20251219|MNTK|16097|0|29945|B,Q,N
20251219|MNTN|39548|3310|146174|B,Q,N
20251219|MNTS|183916|18120|363969|B,Q,N
20251219|MNTSW|142936|115247|153552|Q
20251219|MNY|5794|0|52045|Q,N
20251219|MNYWW|755|755|1937|Q
20251219|MNZL|140|0|146|Q,N
20251219|MO|2130910|1105|3926530|B,Q,N
20251219|MOAT|101880|9|220054|Q,N
20251219|MOB|21404|0|67852|B,Q,N
